ID;Regiao;latitude;longitude;diametro
MC-20;Sinus Sabaeus;-29.61328;14.78125;1884.08944
MC-01;Mare Boreum;88.00292999999999;347.13867;4755.29855
MC-20;Sinus Sabaeus;-28.90234;21.13672;4760.67886
MC-05;Ismenius Lacus;64.43478;32.34783;667832.04304
MC-30;Mare Australe;-88.04348;63.65217;677305.31114
MC-02;Diacria;31.95652;356.21739;683325.9212
MC-04;Mare Acidalium;32.86957;212.6087;699344.40436
MC-10;Lunae Palus;11.86957;225.91304;1013266.6826
MC-11;Oxia Palus;27.65217;212.34783;607650.52114
MC-19;Margaritifer Sinus;-27.91304;182.34783;608399.01314
MC-17;Phoenicis Lacus;-27.91304;302.47826;608399.01314
MC-30;Mare Australe;-87.91304;152.34783;609644.45766
MC-20;Sinus Sabaeus;-27.91304;2.34783;610141.92364
MC-21;Iapygia;-27.78261;62.34783;612375.51961
MC-14;Amenthes;2.21739;122.34783;615587.51733
MC-03;Arcadia;32.21739;242.34783;619027.9534
MC-15;Elysium;2.47826;147.3913;621961.75161
MC-09;Tharsis;2.21739;272.34783;622205.61037
MC-30;Mare Australe;-65.08696;182.08696;625124.49556
MC-15;Elysium;2.21739;152.47826;625367.12103
MC-18;Coprates;-27.78261;242.47826;626578.83912
MC-17;Phoenicis Lacus;-27.78261;272.6087;626578.83912
MC-30;Mare Australe;-87.78261;32.34783;627062.87074
MC-30;Mare Australe;-87.52174;182.21739;627788.21843
MC-01;Mare Boreum;87.26087;177.65217;630921.7556
MC-24;Phaethontis;-57.65217;302.47826;631162.15254
MC-06;Casius;64.17391;62.34783;631162.15254
MC-10;Lunae Palus;2.21739;242.47826;633561.10513
MC-30;Mare Australe;-87.65217;242.47826;640704.0716
MC-11;Oxia Palus;2.34783;182.47826;649171.89362
